date,start_time,end_time,power
2023/03/30,16:42:59,16:48:59,3.32
2023/03/30,16:50:31,16:55:31,3.66
2023/03/30,17:00:53,17:05:53,3.636
2023/03/30,17:10:24,17:15:24,3.1764
2023/03/31,10:01:30,10:09:30,3.3
2023/03/31,10:12:30,10:17:30,4.392
2023/03/31,10:37:30,10:42:30,3.48
2023/03/31,10:44:00,10:49:00,4.344
2023/03/31,10:50:30,10:55:30,4.776
2023/03/31,10:59:05,11:04:05,3.468
2023/03/31,11:05:45,11:10:45,4.224
2023/03/31,11:18:50,11:23:50,5.4
2023/03/31,11:30:40,11:35:40,3.816
2023/03/31,11:39:00,11:44:00,4.596
2023/03/31,13:23:30,13:28:30,5.16
2023/03/31,13:31:00,13:36:00,3.6
2023/03/31,13:38:00,13:43:00,3.84
2023/03/31,13:45:00,13:50:00,4.8
2023/03/31,13:52:01,13:57:01,3.84
2023/03/31,13:58:30,14:03:30,4.08
2023/03/31,14:05:30,14:10:30,5.256
