date,start_time,end_time,power
2023/03/09,14:44:00,14:54:00,8.934
2023/03/09,14:56:00,15:06:00,9.888
2023/03/09,15:10:00,15:20:00,10.512
2023/03/09,16:04:00,16:14:00,9.216
2023/03/09,16:17:00,16:27:00,9.828
2023/03/09,16:32:00,16:42:00,10.296
2023/03/10,13:07:00,13:17:00,9.006
2023/03/10,13:20:00,13:30:00,9.432
2023/03/10,13:33:00,13:43:00,9.024
2023/03/10,13:50:00,14:00:00,8.802
2023/03/10,14:02:00,14:12:00,9.246
2023/03/10,15:43:00,15:53:00,9.978
2023/03/10,16:21:00,16:31:00,9.588
2023/03/10,16:35:00,16:45:00,9.708
2023/03/10,16:50:00,17:00:00,9.9
2023/03/10,17:07:00,17:18:00,9.550909091
2023/03/13,12:24:00,12:34:00,10.656
2023/03/13,12:38:00,12:48:00,10.182
2023/03/13,16:00:00,16:10:00,9.45
2023/03/13,16:45:00,16:55:00,9.18
2023/03/13,17:15:00,17:25:00,8.508
2023/03/17,16:37:00,16:47:00,8.706
2023/03/17,16:52:00,17:02:00,9.804
2023/03/17,17:22:00,17:32:00,10.368
2023/03/20,16:04:00,16:11:40,8.949152542
2023/03/20,16:27:00,16:30:50,9.251239238
2023/03/20,17:04:00,17:09:00,9.312
2023/03/20,17:19:00,17:24:00,9.108
2023/03/20,17:26:00,17:31:00,8.916
2023/03/20,17:33:00,17:36:00,9.66
2023/03/20,17:42:00,17:47:00,7.812
2023/03/21,11:50:00,11:55:00,8.7
2023/03/21,14:12:00,14:17:30,8.34
2023/03/21,14:24:00,14:29:00,9.384
2023/03/21,15:16:30,15:21:30,8.316
2023/03/21,17:00:00,17:05:00,9.012
2023/03/21,17:09:00,17:14:00,9.42
2023/03/21,17:16:00,17:21:00,8.196
2023/03/21,17:22:00,17:27:00,8.688
2023/03/28,11:16:00,11:21:00,9.732
2023/03/28,11:23:00,11:28:00,9.636
2023/03/28,14:55:35,15:00:35,10.44
2023/03/28,15:03:45,15:08:45,10.56
2023/03/28,15:12:30,15:17:30,9.24
2023/03/28,15:30:30,15:35:30,9.12
2023/03/28,15:39:40,15:44:40,9
2023/03/30,15:58:10,16:03:10,11.232
2023/03/30,16:05:05,16:10:05,11.1
2023/03/30,16:14:41,16:19:41,9.528
